"Feature","node/1848630911","charging_station","6","Clever","Point","xAxis","yAxis"
"Feature","node/7237556689","charging_station","2","Clever","Point","10,7903509","55,3097933"
"Feature","node/7237556691","charging_station","2","Clever","Point","10,7845767","55,1393016"
"Feature","node/7237556692","charging_station","2","Clever","Point","10,2740998","55,0859719"
"Feature","node/7237556693","charging_station","2","Clever","Point","10,2741699","55,0859609"
"Feature","node/7237556694","charging_station","2","Clever","Point","10,4506572","55,0738593"
"Feature","node/7237556695","charging_station","2","Clever","Point","10,5797433","55,0690834"
"Feature","node/7237556696","charging_station","2","Clever","Point","10,61545","55,0403393"
"Feature","node/7278341781","charging_station","2","E-on","Point","10,8045378","55,3094556"
"Feature","node/7278341783","charging_station","1","Ionity","Point","10,8047124","55,3093874"
"Feature","node/7278341784","charging_station","1","Ionity","Point","10,8046452","55,3093941"
"Feature","node/7278377185","charging_station","1","Ionity","Point","10,8048296","55,3093681"
"Feature","node/7278377186","charging_station","1","Ionity","Point","10,8048818","55,30936"
"Feature","node/7278377193","charging_station","1","Clever & E-on","Point","10,8399052","55,2971428"
"Feature","node/7278377194","charging_station","1","Clever & E-on","Point","10,8398507","55,2971359"
"Feature","node/7278377195","charging_station","1","Clever & E-on","Point","10,8396496","55,2972254"
"Feature","node/7278377196","charging_station","1","Clever & E-on","Point","10,8396986","55,2972312"
"Feature","node/7278377197","charging_station","2","Clever","Point","10,8396215","55,2971464"
"Feature","node/7283065010","charging_station","2","E.ON","Point","12,36206","55,7307658"
"Feature","node/7283065011","charging_station","2","E.ON","Point","12,3621318","55,7307588"
"Feature","node/7283065012","charging_station","2","E.ON","Point","12,3621981","55,730754"
"Feature","node/7304196202","charging_station","4","Ionity","Point","9,6944998","56,7828287"
"Feature","node/7308307935","charging_station","","","Point","9,7435322","56,8412732"
"Feature","node/7308307936","charging_station","","","Point","9,7436578","56,8412105"
"Feature","node/7334597651","charging_station","2","Clever","Point","12,5437302","55,6677537"
"Feature","node/7334601465","charging_station","2","CLEVER","Point","12,5436832","55,6677617"
"Feature","node/7337289583","charging_station","2","CleanChargr","Point","12,5785146","55,694411"
"Feature","node/7418534992","charging_station","","","Point","9,9371556","57,2225765"
"Feature","node/7418640516","charging_station","11kwh","E-On","Point","12,5438482","55,6662555"
"Feature","node/7551831499","charging_station","","","Point","12,5251259","54,9823024"
"Feature","node/7606492407","charging_station","2","","Point","8,5200514","55,942855"
"Feature","node/7606492408","charging_station","2","","Point","8,5200787","55,9428688"
"Feature","node/7633369026","charging_station","2","e.on Drive","Point","12,5583043","55,7352997"
"Feature","node/7637964249","charging_station","","","Point","10,0314065","56,4575898"
"Feature","node/7679511903","charging_station","","","Point","12,4892955","55,6550308"
"Feature","node/7682540482","charging_station","6","Eon","Point","12,5992497","55,6648808"
"Feature","node/7697931521","charging_station","2","","Point","10,6406344","55,8156154"
"Feature","node/7737231464","charging_station","2","FDM connected by SPIRII","Point","15,0775702","54,9936877"
"Feature","node/7757243739","charging_station","2","","Point","15,119038","55,0271123"
"Feature","node/7757638012","charging_station","2","Clever","Point","12,5778537","55,7058693"
"Feature","node/7759146595","charging_station","1","Speto","Point","8,4953295","55,946341"
"Feature","node/7759146596","charging_station","2","Speto","Point","8,4954159","55,9463664"
"Feature","node/7761172044","charging_station","","e-on","Point","10,0658738","56,1752377"
"Feature","node/7762871389","charging_station","","e-on","Point","10,0654446","56,1781104"
"Feature","node/7771160978","charging_station","3","Lidl","Point","15,1331527","55,0617829"
"Feature","node/7790357171","charging_station","","EON","Point","9,9042498","57,0220262"
"Feature","node/7792445344","charging_station","1","Clever","Point","12,5445166","55,6877402"
"Feature","node/7792449683","charging_station","2","Clever","Point","12,5445355","55,6876794"
"Feature","node/7796359211","charging_station","2","eOn","Point","9,3994351","55,5143231"
"Feature","node/7798098026","charging_station","4","Ionity","Point","9,7177666","55,5367243"
"Feature","node/7798184016","charging_station","1","Hotel Fredericia","Point","9,7266903","55,5763281"
"Feature","node/7798184017","charging_station","2","Hotel Fredericia","Point","9,7267252","55,5763523"
"Feature","node/7798184018","charging_station","6","E.ON","Point","9,7270095","55,580534"
"Feature","node/7798184463","charging_station","2","Clever","Point","9,7212374","55,5673295"
"Feature","node/7798268929","charging_station","4","Clever","Point","9,7592497","55,5631373"
"Feature","node/7798350588","charging_station","4","E.ON","Point","9,7122976","55,5258614"
"Feature","node/7798760184","charging_station","11kwh","E-On","Point","12,543955","55,6662965"
"Feature","node/7798782939","charging_station","11kwh","E-On","Point","12,555426","55,6661273"
"Feature","node/7798782940","charging_station","11kwh","E-On","Point","12,5554579","55,6661031"
"Feature","node/7798811985","charging_station","11kwh","E-On","Point","12,5439011","55,6662761"
"Feature","node/7798961664","charging_station","2","Powered by E.ON Drive & Clever","Point","9,6948177","56,7840042"
"Feature","node/7801661485","charging_station","1","Clever","Point","12,5403747","55,7112747"
"Feature","node/7803722994","charging_station","1","Ionity","Point","10,8047616","55,3093792"
"Feature","node/7803722995","charging_station","1","Ionity","Point","10,8049467","55,3093498"
"Feature","node/7824321824","charging_station","12","Tesla, Inc.","Point","9,1724749","56,1223006"
"Feature","node/7834183077","charging_station","","Eon","Point","10,2114754","56,1495384"
"Feature","node/7834183078","charging_station","","Eon","Point","10,211518","56,149506"
"Feature","node/7834183079","charging_station","","Eon","Point","10,2115663","56,1494714"
"Feature","node/7858007795","charging_station","2","e-on","Point","9,4960459","56,6933806"
"Feature","node/7858036620","charging_station","","EON","Point","12,6113387","56,038849"
"Feature","node/7858073169","charging_station","","EON","Point","12,6112897","56,0388577"
"Feature","node/7858088407","charging_station","","EON","Point","12,611311","56,0388594"
"Feature","node/7858108030","charging_station","","EON","Point","12,6114031","56,0388235"
"Feature","node/7858109138","charging_station","","EON","Point","12,6114245","56,0388145"
"Feature","node/7858116007","charging_station","","EON","Point","12,6113494","56,038843"
"Feature","node/7858121194","charging_station","","eon","Point","12,5611652","55,6923139"
"Feature","node/7858129693","charging_station","","EON","Point","12,5611607","55,6922918"
"Feature","node/7875665624","charging_station","1","eon","Point","12,5555557","55,6931749"
"Feature","node/7875863927","charging_station","1","eon","Point","12,5554807","55,6932401"
"Feature","node/7875877863","charging_station","1","eon","Point","12,5554462","55,6932661"
"Feature","node/7875878428","charging_station","1","eon","Point","12,5555118","55,6932041"
"Feature","node/7928181816","charging_station","1","Clever/E.On","Point","12,2315234","55,560681"
"Feature","node/7928181817","charging_station","1","Clever/E.On","Point","12,2315606","55,5606872"
"Feature","node/7928181818","charging_station","1","Clever/E.On","Point","12,2292563","55,5608167"
"Feature","node/7928181819","charging_station","1","Clever/E.On","Point","12,2292751","55,5608365"
"Feature","node/7928181820","charging_station","2","E.ON","Point","12,2292971","55,5608611"
